100,20
,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120
V0,0.00,84.06,95.21,44.42,51.04,113.88,101.51,88.14,92.61,59.20,57.80,99.25,84.31,34.71,98.84,81.69,77.03,104.71,49.04,66.10,91.76,31.89,76.30,8.60,87.28,75.66,82.57,98.23,62.59,43.68,79.56,83.10,35.51,65.86,31.06,74.01,31.95,64.38,86.84,58.01,97.80,40.61,77.83,86.28,7.00,92.11,100.12,76.16,20.25,58.14,64.14,78.39,43.29,78.77,84.38,35.90,86.31,72.00,102.07,55.07,57.43,43.05,76.24,21.59,69.84,37.34,102.93,102.18,104.39,21.38,87.46,67.20,22.80,92.66,111.83,69.26,110.94,22.20,34.21,75.03,68.60,99.28,77.99,78.77,82.87,75.80,108.07,91.29,117.39,89.01,110.63,80.89,70.09,83.86,82.02,64.51,34.48,85.21,72.37,115.11,95.13,79.20,96.18,53.67,93.24,57.43,83.86,67.27,37.48,102.22,90.87,90.62,124.74,104.96,38.83,69.81,101.55,59.03,17.00,57.01,31.91
V1,84.06,0.00,12.53,39.66,33.12,54.57,63.60,43.46,14.32,32.20,36.01,94.87,34.66,64.94,50.25,26.17,43.42,21.59,35.85,54.08,19.85,54.23,31.26,87.66,76.55,35.23,65.73,57.20,59.20,43.93,25.71,42.72,53.08,27.29,70.41,75.77,61.85,80.28,33.42,73.16,65.86,64.20,52.15,37.54,78.24,55.90,85.91,48.02,64.40,45.54,39.29,14.04,48.83,52.70,38.18,63.79,33.11,75.96,32.25,44.10,38.05,51.31,83.01,64.03,14.87,52.50,44.94,33.38,59.17,78.75,52.35,17.72,80.36,35.85,43.05,54.23,47.85,61.91,63.15,78.92,15.62,18.03,13.42,34.71,18.38,67.08,39.12,13.89,40.52,82.68,29.97,34.21,58.69,2.24,81.84,26.00,62.17,41.44,31.00,50.36,11.31,29.21,75.07,47.10,30.87,65.12,35.11,21.00,77.41,47.01,14.42,17.03,50.22,48.10,49.58,29.73,54.71,74.33,84.50,36.00,52.15
V2,95.21,12.53,0.00,51.09,44.20,46.10,59.46,52.17,18.38,44.72,43.17,94.37,33.11,73.38,45.25,25.96,54.00,16.16,46.32,57.43,25.63,64.50,42.05,98.27,76.56,46.04,65.92,53.15,63.20,56.22,36.00,52.35,65.30,33.73,79.06,78.10,70.94,84.38,30.89,78.03,62.80,71.81,52.81,35.36,89.64,53.25,84.38,49.04,75.93,51.16,44.01,25.50,61.29,53.14,36.67,72.12,41.77,78.64,23.26,50.64,44.91,63.81,85.38,75.74,27.20,64.82,38.01,24.60,53.81,88.24,50.61,28.02,89.69,31.24,32.98,56.89,39.00,73.01,71.78,81.25,27.66,16.97,18.68,45.01,28.02,68.68,29.41,18.97,28.44,82.86,17.46,44.10,61.19,13.93,83.17,38.48,70.84,50.64,42.43,40.80,3.61,29.83,73.25,53.60,25.50,70.01,44.41,29.15,85.15,40.61,19.92,23.09,38.33,41.05,61.85,34.01,49.52,79.06,94.37,43.42,63.41
V3,44.42,39.66,51.09,0.00,7.21,77.62,73.17,53.14,48.70,20.25,23.19,88.32,47.85,32.89,65.38,42.38,44.29,60.37,8.00,43.86,48.84,17.03,38.08,48.47,71.11,39.22,62.03,68.01,44.94,11.70,39.12,48.85,17.26,26.68,36.88,63.01,27.89,60.88,49.48,52.40,71.85,35.36,51.20,50.64,38.60,63.20,83.77,47.68,24.84,31.38,32.39,34.93,18.68,52.17,49.37,32.31,47.68,62.01,61.29,27.31,24.52,21.59,68.88,24.76,25.50,18.03,66.22,61.72,73.06,42.05,58.22,23.35,44.01,55.08,72.01,46.24,73.05,22.36,30.68,65.60,24.19,55.15,35.00,41.76,40.31,58.59,67.98,47.43,75.21,75.66,67.21,43.42,49.66,39.45,71.28,23.09,29.73,49.98,34.21,76.90,50.80,41.23,75.58,28.65,53.85,46.01,46.32,25.06,46.17,66.49,47.13,47.30,83.53,68.88,15.00,32.39,69.18,53.81,46.69,22.20,12.53
V4,51.04,33.12,44.20,7.21,0.00,70.83,67.60,51.88,43.17,19.85,18.38,85.45,41.30,35.36,59.08,35.44,44.20,54.23,4.47,40.50,44.10,21.59,36.25,54.56,67.74,38.08,58.14,62.20,42.52,17.00,36.14,48.02,24.04,20.10,40.05,60.88,31.02,60.22,42.76,51.87,66.71,36.69,46.49,44.18,45.45,57.71,80.06,42.72,31.83,28.02,27.51,30.07,24.02,47.43,43.05,34.53,45.22,60.11,54.12,24.21,20.12,27.02,67.18,31.89,19.65,24.52,59.44,54.56,67.01,46.69,52.77,16.28,48.51,48.27,64.88,42.54,66.10,28.84,33.24,63.66,18.03,49.34,27.80,40.25,36.01,55.47,60.84,41.98,68.01,72.67,60.11,41.63,46.32,33.11,68.88,20.62,32.25,48.76,32.65,69.89,44.10,34.53,71.31,26.17,46.82,44.82,44.38,17.89,48.66,59.84,41.77,42.30,76.32,62.17,21.38,26.02,63.01,53.25,51.92,17.46,19.21
V5,113.88,54.57,46.10,77.62,70.83,0.00,25.08,97.72,64.47,82.01,56.86,65.01,30.08,81.84,16.40,35.51,97.86,58.82,69.92,51.66,71.69,82.73,85.70,113.46,52.17,89.63,45.31,22.14,57.49,87.48,80.28,97.27,94.83,50.96,87.32,61.85,82.66,73.36,28.16,71.28,31.26,77.23,39.82,27.73,110.48,27.73,53.04,39.60,99.01,56.04,49.74,68.45,94.20,39.20,29.53,80.43,87.28,63.56,22.85,58.83,56.80,97.16,67.68,100.09,64.07,95.34,11.40,21.54,17.12,98.86,30.23,58.14,99.36,22.56,14.87,48.92,7.21,93.94,81.40,64.26,63.01,62.27,47.01,89.27,72.80,52.33,17.20,65.00,27.78,57.71,36.77,88.77,50.80,56.75,62.10,77.06,80.80,95.88,85.00,7.62,49.66,36.40,43.10,60.46,25.00,65.44,89.56,53.60,88.41,11.66,65.92,69.08,24.33,8.94,92.20,45.54,16.16,71.56,106.04,57.78,86.73
V6,101.51,63.60,59.46,73.17,67.60,25.08,0.00,106.33,76.49,83.52,50.04,40.11,29.53,67.23,14.42,38.08,103.79,74.81,65.19,35.47,83.10,72.99,92.13,99.40,27.51,95.71,22.67,6.40,39.82,84.48,87.82,104.71,90.02,48.27,72.01,38.83,69.57,51.22,30.23,50.99,6.32,61.74,23.77,26.42,99.46,10.00,28.28,26.17,90.09,44.55,41.00,75.80,91.55,22.80,26.40,65.92,96.25,40.80,38.95,48.37,49.00,94.53,43.83,91.79,68.03,91.09,23.77,37.59,8.00,83.63,15.00,59.81,83.65,28.28,36.88,32.31,29.27,84.34,67.42,40.82,66.31,76.42,51.97,96.18,81.54,30.41,37.00,76.58,50.45,32.76,56.36,96.25,32.25,65.80,37.70,80.06,67.07,103.94,90.38,32.02,62.97,36.25,18.03,48.84,33.97,46.87,97.75,53.76,70.72,20.62,77.34,80.28,49.04,21.84,88.14,42.20,10.77,50.93,90.79,51.04,79.23
V7,88.14,43.46,52.17,53.14,51.88,97.72,106.33,0.00,34.23,32.89,67.01,133.65,76.85,86.03,93.48,68.26,11.40,45.18,56.36,89.38,27.07,69.64,15.81,95.00,115.26,13.93,104.69,99.98,92.80,46.53,18.60,5.10,53.01,62.23,89.84,111.04,80.96,111.83,76.16,103.59,107.90,88.24,91.35,79.92,81.15,97.91,126.15,87.11,69.03,77.80,74.33,30.53,45.00,92.10,80.16,85.44,10.44,110.60,75.00,74.63,69.20,45.10,117.80,67.00,39.62,51.00,88.39,76.24,102.42,93.38,93.81,48.80,95.52,79.16,85.15,90.61,90.80,70.46,83.82,114.02,41.73,39.01,54.38,11.66,25.08,104.06,81.49,33.38,79.23,120.93,67.12,10.63,94.92,41.23,118.44,31.38,82.87,3.16,19.24,92.89,48.84,70.46,115.88,77.10,74.32,96.25,8.60,55.17,99.30,90.47,32.39,29.27,89.20,91.55,50.09,67.27,97.95,104.96,96.52,66.40,62.17
V8,92.61,14.32,18.38,48.70,43.17,64.47,76.49,34.23,0.00,35.47,49.50,109.00,48.27,77.16,62.63,40.00,37.66,13.60,46.69,68.35,7.28,64.76,26.57,97.14,90.74,30.36,79.92,70.09,73.38,49.93,20.25,35.01,59.08,41.23,82.39,90.08,73.55,94.37,46.69,87.10,79.21,77.01,66.37,50.99,86.31,69.35,99.81,62.27,72.45,59.44,53.45,14.42,53.26,66.89,51.86,76.11,24.02,90.25,41.63,57.71,51.62,55.23,97.31,71.59,23.54,58.01,56.08,42.95,71.40,89.82,66.07,30.02,91.59,48.27,51.24,68.54,57.38,70.94,75.24,93.23,25.32,7.07,27.73,28.64,12.53,81.39,47.76,1.41,45.04,96.90,33.00,27.29,73.01,12.65,96.15,29.21,74.24,33.02,28.18,59.14,14.87,43.27,88.87,60.67,42.80,79.08,27.02,34.53,90.02,58.52,2.24,5.00,55.04,59.17,55.47,44.01,67.01,88.29,95.08,49.37,61.10
V9,59.20,32.20,44.72,20.25,19.85,82.01,83.52,32.89,35.47,0.00,37.20,104.81,54.92,53.14,72.99,47.27,24.41,48.80,24.21,59.82,33.12,36.88,18.11,64.94,86.84,18.97,76.85,77.62,62.24,15.52,20.40,28.64,24.17,35.47,57.01,80.62,48.08,80.00,55.44,71.61,83.57,55.46,64.41,58.05,52.50,74.00,98.79,60.37,39.05,47.51,45.79,21.21,17.80,65.30,57.49,52.55,28.02,79.91,61.81,43.86,39.20,19.80,87.00,37.64,18.44,22.83,71.03,62.65,81.58,61.20,69.29,24.19,63.29,60.13,72.99,61.61,76.16,39.12,50.92,83.44,19.10,42.52,35.06,21.59,24.19,74.81,68.88,34.06,72.45,92.01,62.17,23.35,65.60,30.89,88.53,6.40,49.98,29.73,14.14,79.40,43.05,47.85,89.47,45.97,57.01,64.66,26.31,29.83,66.41,72.17,33.42,32.45,81.91,74.06,20.62,41.44,77.28,73.01,65.01,36.40,30.02
