20,4
,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
V0,0.00,51.04,40.61,40.31,74.71,93.38,26.93,37.70,47.01,37.64,61.29,70.84,88.46,60.93,44.38,54.23,87.66,93.05,7.62,68.80,88.65,70.09,72.69,63.81,20.25
V1,51.04,0.00,17.26,27.20,24.74,43.60,32.25,69.86,30.41,40.45,57.69,21.10,63.64,32.45,40.01,53.24,63.66,60.21,44.78,29.43,64.35,28.64,49.20,64.13,55.47
V2,40.61,17.26,0.00,10.30,41.11,53.60,16.55,67.90,39.66,44.38,42.45,31.76,78.41,24.02,46.62,37.20,78.24,76.48,33.30,28.64,79.03,45.54,63.03,72.09,50.96
V3,40.31,27.20,10.30,0.00,50.04,58.59,13.42,72.03,49.04,52.00,32.56,38.33,88.60,20.62,55.07,27.02,88.41,86.77,32.70,29.70,89.20,55.71,73.11,80.53,54.23
V4,74.71,24.74,41.11,50.04,0.00,29.07,56.89,87.20,40.71,54.92,76.55,17.69,55.15,46.96,51.43,73.50,55.71,46.62,68.94,37.01,56.08,18.11,45.40,70.04,75.69
V5,93.38,43.60,53.60,58.59,29.07,0.00,69.89,112.77,68.31,81.54,74.06,22.67,82.23,44.72,79.06,73.68,82.98,71.51,86.45,31.58,83.20,47.00,74.11,98.99,99.05
V6,26.93,32.25,16.55,13.42,56.89,69.89,0.00,60.13,45.22,44.41,39.40,48.30,87.24,34.01,48.84,32.65,86.83,87.60,19.31,42.64,87.71,58.55,71.20,73.60,42.01
V7,37.70,69.86,67.90,72.03,87.20,112.77,60.13,0.00,47.38,32.56,98.06,90.80,75.43,91.55,37.64,91.01,74.22,85.23,43.42,95.80,75.19,74.97,63.16,40.01,18.25
V8,47.01,30.41,39.66,49.04,40.71,68.31,45.22,47.38,0.00,14.87,81.57,48.37,42.72,61.47,10.77,75.69,42.15,46.04,44.72,59.84,43.08,27.66,26.57,33.73,39.40
V9,37.64,40.45,44.38,52.00,54.92,81.54,44.41,32.56,14.87,0.00,83.35,60.44,51.24,68.07,7.00,76.85,50.36,57.56,37.59,69.01,51.35,42.52,36.01,29.21,25.71
V10,61.29,57.69,42.45,32.56,76.55,74.06,39.40,98.06,81.57,83.35,0.00,60.64,120.74,30.41,87.09,7.07,120.62,117.89,54.74,43.10,121.38,86.09,105.48,112.36,79.83
V11,70.84,21.10,31.76,38.33,17.69,22.67,48.30,90.80,48.37,60.44,60.64,0.00,71.59,30.36,58.86,58.42,72.01,64.03,64.03,19.42,72.47,33.54,60.08,81.01,76.55
V12,88.46,63.64,78.41,88.60,55.15,82.23,87.24,75.43,42.72,51.24,120.74,71.59,0.00,95.67,44.28,115.60,1.41,14.32,87.09,89.31,1.00,38.08,16.16,37.59,76.01
V13,60.93,32.45,24.02,20.62,46.96,44.72,34.01,91.55,61.47,68.07,30.41,30.36,95.67,0.00,69.64,29.07,95.78,90.79,53.31,13.15,96.43,58.80,81.61,94.87,74.15
V14,44.38,40.01,46.62,55.07,51.43,79.06,48.84,37.64,10.77,7.00,87.09,58.86,44.28,69.64,0.00,80.80,43.42,50.64,43.86,69.26,44.41,37.54,29.02,25.50,32.56
V15,54.23,53.24,37.20,27.02,73.50,73.68,32.65,91.01,75.69,76.85,7.07,58.42,115.60,29.07,80.80,0.00,115.42,113.37,47.68,42.19,116.21,81.84,100.12,105.95,72.78
V16,87.66,63.66,78.24,88.41,55.71,82.98,86.83,74.22,42.15,50.36,120.62,72.01,1.41,95.78,43.42,115.42,0.00,15.65,86.40,89.59,1.00,38.47,15.65,36.24,75.00
V17,93.05,60.21,76.48,86.77,46.62,71.51,87.60,85.23,46.04,57.56,117.89,64.03,14.32,90.79,50.64,113.37,15.65,0.00,90.55,82.81,15.23,32.02,22.14,49.82,83.19
V18,7.62,44.78,33.30,32.70,68.94,86.45,19.31,43.42,44.72,37.59,54.74,64.03,87.09,53.31,43.86,47.68,86.40,90.55,0.00,61.29,87.36,65.76,71.06,65.44,25.30
V19,68.80,29.43,28.64,29.70,37.01,31.58,42.64,95.80,59.84,69.01,43.10,19.42,89.31,13.15,69.26,42.19,89.59,82.81,61.29,0.00,90.14,51.40,76.48,93.56,79.38
V20,88.65,64.35,79.03,89.20,56.08,83.20,87.71,75.19,43.08,51.35,121.38,72.47,1.00,96.43,44.41,116.21,1.00,15.23,87.36,90.14,0.00,38.95,16.55,37.12,76.00
V21,70.09,28.64,45.54,55.71,18.11,47.00,58.55,74.97,27.66,42.52,86.09,33.54,38.08,58.80,37.54,81.84,38.47,32.02,65.76,51.40,38.95,0.00,27.29,52.89,66.37
V22,72.69,49.20,63.03,73.11,45.40,74.11,71.20,63.16,26.57,36.01,105.48,60.08,16.16,81.61,29.02,100.12,15.65,22.14,71.06,76.48,16.55,27.29,0.00,30.00,61.40
V23,63.81,64.13,72.09,80.53,70.04,98.99,73.60,40.01,33.73,29.21,112.36,81.01,37.59,94.87,25.50,105.95,36.24,49.82,65.44,93.56,37.12,52.89,30.00,0.00,46.24
V24,20.25,55.47,50.96,54.23,75.69,99.05,42.01,18.25,39.40,25.71,79.83,76.55,76.01,74.15,32.56,72.78,75.00,83.19,25.30,79.38,76.00,66.37,61.40,46.24,0.00
