30,6
,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36
V0,0.00,22.00,70.18,87.21,31.32,84.38,73.00,40.11,79.26,44.91,17.03,36.06,62.82,57.01,57.43,52.09,88.02,40.05,37.01,121.51,102.42,97.49,107.00,10.30,96.05,78.41,80.01,93.94,69.12,88.39,87.93,78.85,83.57,101.40,98.08,50.00,70.21
V1,22.00,0.00,48.26,65.28,12.04,62.51,58.25,44.28,61.07,23.77,5.10,30.07,41.79,61.47,35.69,55.36,66.03,18.11,15.03,108.91,94.83,78.49,90.52,13.93,80.06,67.23,83.24,85.87,48.10,82.73,67.23,76.01,78.41,89.90,77.25,48.66,49.66
V2,70.18,48.26,0.00,17.03,40.20,14.32,45.54,75.59,34.01,26.31,53.34,55.90,13.45,88.01,13.15,81.84,18.25,30.81,33.54,89.27,90.52,42.54,61.85,61.81,55.23,61.10,103.28,82.22,12.37,85.43,25.24,86.27,83.24,76.53,33.24,70.60,16.28
V3,87.21,65.28,17.03,0.00,57.08,3.61,52.80,90.62,37.59,43.10,70.35,71.17,27.51,101.71,30.02,95.77,4.12,47.68,50.49,88.57,95.71,38.00,59.03,78.77,55.32,68.24,114.98,88.19,22.83,93.23,20.22,96.21,91.83,79.38,23.09,84.22,25.00
V4,31.32,12.04,40.20,57.08,0.00,54.01,46.32,41.11,49.20,14.00,16.40,23.26,31.58,57.14,27.07,50.77,58.42,14.87,12.21,97.13,84.34,66.89,78.49,25.24,68.01,55.97,77.47,75.31,37.85,73.06,56.61,67.60,69.00,78.39,66.76,42.15,38.90
V5,84.38,62.51,14.32,3.61,54.01,0.00,49.41,87.09,34.44,40.01,67.60,67.68,24.04,98.11,27.02,92.18,7.21,45.12,47.85,86.28,92.61,36.12,57.01,76.12,52.77,64.90,111.40,85.00,19.24,89.87,18.00,92.70,88.41,76.54,22.36,80.62,21.40
V6,73.00,58.25,45.54,52.80,46.32,49.41,0.00,52.61,16.64,40.52,62.01,39.36,33.54,56.72,41.05,52.15,56.61,52.20,52.20,50.99,45.12,32.25,34.48,70.18,23.32,15.65,64.50,36.69,33.24,40.50,36.40,44.05,39.05,33.54,43.83,41.00,29.55
V7,40.11,44.28,75.59,90.62,41.11,87.09,52.61,0.00,66.01,51.40,43.32,19.72,63.16,17.46,63.29,12.00,93.11,55.97,53.26,91.61,66.84,84.10,85.73,45.40,74.73,50.09,40.20,59.41,68.01,51.61,82.20,40.25,46.62,71.03,91.79,13.60,66.76
V8,79.26,61.07,34.01,37.59,49.20,34.44,16.64,66.01,0.00,39.05,65.60,49.82,25.30,72.28,34.18,67.27,41.59,50.22,51.22,55.58,58.18,18.68,30.53,74.40,21.84,31.14,81.12,50.61,22.09,56.08,19.85,60.61,55.15,42.76,27.31,55.73,18.11
V9,44.91,23.77,26.31,43.10,14.00,40.01,40.52,51.40,39.05,0.00,28.79,31.89,18.03,65.80,13.15,59.41,44.55,11.70,12.21,91.18,83.01,55.44,69.40,37.70,59.68,53.15,84.06,74.00,24.35,73.82,43.46,70.84,70.41,73.98,53.49,49.20,25.94
