50,10
,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
V0,0.00,118.85,57.38,49.25,27.00,68.77,122.80,71.18,59.44,109.79,96.42,76.90,73.38,77.10,98.48,89.96,26.57,87.66,101.32,37.54,42.54,96.46,22.20,69.63,89.50,36.67,71.01,96.52,95.00,102.14,98.33,103.25,79.76,40.31,73.82,46.52,63.07,38.90,54.01,128.70,20.62,24.17,77.01,36.06,23.09,53.34,70.09,33.29,69.97,120.62,55.23,81.54,89.02,112.29,80.10,44.82,71.45,65.25,62.23,80.06,11.70
V1,118.85,0.00,65.60,91.48,104.20,52.80,30.61,53.00,81.58,21.54,65.07,66.03,56.86,63.32,57.14,38.60,94.07,53.15,26.08,81.40,80.95,42.05,97.65,55.66,73.16,83.45,76.24,23.85,36.06,42.19,88.32,41.44,41.62,85.43,66.10,79.71,90.67,83.55,96.10,16.03,98.23,97.94,74.73,90.34,100.42,71.69,49.09,87.98,58.69,23.43,63.82,45.69,92.23,6.71,89.20,75.80,49.19,64.41,57.45,62.59,109.04
V2,57.38,65.60,0.00,55.07,53.24,31.05,78.85,13.89,53.81,63.25,44.92,56.36,17.00,24.70,44.28,32.65,30.87,57.49,55.79,25.18,35.34,39.29,40.20,37.34,72.45,20.88,27.66,41.87,54.15,45.12,88.32,66.01,24.08,39.92,22.83,38.59,64.66,18.87,62.77,78.39,38.08,43.00,31.89,42.72,36.06,35.38,25.02,35.51,41.63,74.33,19.21,24.17,84.20,59.64,75.93,28.18,30.27,11.18,23.77,27.51,50.22
V3,49.25,91.48,55.07,0.00,22.56,40.11,84.63,63.25,12.04,75.58,99.40,31.83,70.38,79.61,97.41,77.93,44.72,45.45,67.62,33.24,20.00,87.66,32.02,35.90,41.23,43.28,81.61,75.17,58.59,93.56,49.09,62.63,64.63,16.28,77.90,16.55,14.14,48.92,7.81,96.18,37.64,27.46,86.53,16.55,50.33,22.20,47.04,24.70,32.89,84.72,37.95,72.03,40.11,84.90,31.02,26.93,44.10,66.24,39.32,82.29,38.01
V4,27.00,104.20,53.24,22.56,0.00,51.48,102.55,65.03,33.62,91.40,97.67,52.48,70.18,77.28,97.51,82.61,30.81,64.82,83.01,28.07,23.26,91.14,15.81,50.00,63.57,34.79,75.61,84.43,75.17,97.13,71.45,81.47,70.21,18.87,74.73,25.00,36.12,39.92,27.02,111.50,21.26,11.18,81.27,13.89,33.97,33.02,55.71,18.03,48.84,101.53,42.20,75.17,62.03,97.49,53.15,29.12,55.01,63.79,47.17,80.23,16.49
V5,68.77,52.80,31.05,40.11,51.48,0.00,54.38,30.48,32.56,41.04,66.71,26.91,39.05,49.82,62.68,39.92,47.42,26.48,32.56,31.91,28.30,50.16,46.69,7.07,42.44,37.95,57.25,35.06,26.83,55.71,59.03,37.11,26.83,32.65,49.65,26.93,43.42,40.79,46.04,60.44,48.60,46.10,60.21,37.59,54.63,18.97,8.60,36.12,12.04,51.86,15.52,36.06,56.73,46.10,49.65,24.04,4.00,39.36,8.06,51.74,57.98
V6,122.80,30.61,78.85,84.63,102.55,54.38,0.00,69.58,72.95,16.03,91.68,53.71,76.11,85.02,84.20,61.52,101.60,39.45,23.09,86.28,80.81,68.15,100.60,53.26,54.13,91.68,97.05,44.41,27.80,69.89,66.00,22.36,58.22,84.17,87.01,77.79,79.16,93.62,86.95,19.70,102.90,99.36,97.05,89.11,108.71,70.09,55.54,89.64,53.74,7.21,69.35,66.01,72.56,29.97,72.28,78.01,52.35,81.74,61.77,85.15,111.66
V7,71.18,53.00,13.89,63.25,65.03,30.48,69.58,0.00,59.54,53.60,36.89,57.38,8.60,19.42,34.18,18.79,44.72,55.01,47.04,37.22,44.72,26.17,53.15,37.54,72.80,34.54,28.64,29.15,47.68,32.14,89.50,60.02,11.70,49.65,19.70,46.84,70.71,32.76,70.58,66.71,51.55,55.44,30.46,53.24,49.93,41.63,22.20,47.01,42.45,64.33,25.30,10.44,87.00,47.41,79.51,37.48,28.02,12.17,25.81,21.26,63.60
V8,59.44,81.58,53.81,12.04,33.62,32.56,72.95,59.54,0.00,64.62,96.38,19.80,67.42,77.42,93.47,72.12,50.45,33.60,56.92,36.25,22.47,82.22,40.00,27.02,30.08,46.52,81.32,67.12,47.54,87.93,40.31,50.80,58.82,21.21,76.22,17.46,11.18,51.88,14.56,85.23,45.10,36.12,85.70,24.02,56.89,18.44,40.52,30.41,23.09,73.36,35.00,67.23,32.89,75.13,23.77,27.46,36.50,64.66,34.01,79.88,47.85
V9,109.79,21.54,63.25,75.58,91.40,41.04,16.03,53.60,64.62,0.00,76.54,47.07,60.07,69.07,69.29,45.89,87.37,33.24,8.49,72.62,68.77,53.14,87.73,41.40,52.24,77.18,81.02,28.86,17.09,55.46,66.94,19.92,42.19,72.62,71.00,66.40,72.53,78.71,79.12,20.62,89.50,87.00,81.10,77.62,94.34,58.41,40.82,77.08,43.05,11.18,55.22,50.04,71.34,17.80,69.03,65.07,38.42,65.76,47.80,69.26,99.01
V10,96.42,65.07,44.92,99.40,97.67,66.71,91.68,36.89,96.38,76.54,0.00,93.43,29.07,20.40,8.06,31.30,71.00,88.87,73.01,69.86,80.06,23.54,83.49,73.76,108.21,63.39,26.25,47.76,77.52,23.02,125.16,89.47,41.11,84.76,23.09,82.86,107.54,59.08,106.93,81.10,80.10,86.98,20.62,87.64,73.33,78.29,58.14,80.28,78.75,84.93,61.72,31.14,123.43,62.65,116.21,72.80,63.70,33.96,62.68,17.46,92.02
V11,76.90,66.03,56.36,31.83,52.48,26.91,53.71,57.38,19.80,47.07,93.43,0.00,65.95,76.69,89.02,65.19,63.03,14.32,40.20,47.01,35.51,75.47,55.79,19.85,16.16,56.32,83.53,55.97,30.27,80.62,32.20,31.38,52.80,36.69,76.40,30.81,25.63,60.83,33.29,67.45,60.02,52.81,86.84,40.85,70.11,26.00,35.36,44.91,15.00,54.78,37.70,62.48,30.23,60.01,24.35,37.01,29.73,65.73,32.76,78.64,65.19
V12,73.38,56.86,17.00,70.38,70.18,39.05,76.11,8.60,67.42,60.07,29.07,65.95,0.00,10.82,27.46,19.21,46.84,63.53,54.08,42.11,51.24,23.26,57.14,46.10,81.40,37.48,21.02,33.53,55.54,28.79,98.08,67.91,18.03,56.04,11.40,53.85,78.55,34.48,77.88,71.47,54.74,60.00,22.14,59.23,51.08,49.24,30.81,52.35,50.99,70.46,32.65,11.18,95.46,51.87,87.86,43.97,36.62,8.60,34.06,12.73,66.91
V13,77.10,63.32,24.70,79.61,77.28,49.82,85.02,19.42,77.42,69.07,20.40,76.69,10.82,0.00,21.38,24.74,51.16,74.30,63.64,49.48,60.01,24.21,63.20,56.85,92.20,43.10,13.00,41.19,65.80,28.32,108.85,78.16,27.89,64.62,3.61,63.06,88.48,39.01,87.24,78.64,60.00,66.61,12.04,67.36,54.13,59.08,41.62,59.91,61.72,79.03,42.44,19.03,106.08,59.03,98.35,52.80,47.43,13.60,44.55,3.00,72.03
V14,98.48,57.14,44.28,97.41,97.51,62.68,84.20,34.18,93.47,69.29,8.06,89.02,27.46,21.38,0.00,25.00,72.44,83.49,66.19,69.46,78.59,16.16,84.01,69.63,103.32,64.01,30.53,40.72,71.28,15.00,120.34,83.01,36.24,83.43,24.74,80.96,104.65,60.21,104.75,73.17,81.10,87.14,25.61,86.68,75.50,75.77,54.08,79.76,74.63,77.37,59.46,26.63,119.20,54.92,112.33,71.31,59.41,34.00,59.48,18.44,93.19
V15,89.96,38.60,32.65,77.93,82.61,39.92,61.52,18.79,72.12,45.89,31.30,65.19,19.21,24.74,25.00,0.00,63.51,58.69,41.79,55.32,61.00,10.30,71.57,46.52,78.87,53.31,37.64,17.12,46.32,15.81,95.90,58.18,13.34,66.00,27.51,62.20,83.17,51.48,84.72,53.94,70.23,73.55,36.35,70.06,68.60,55.73,31.62,64.63,51.43,55.15,41.00,8.60,95.41,34.37,89.07,54.04,36.25,27.59,38.64,24.19,82.22
V16,26.57,94.07,30.87,44.72,30.81,47.42,101.60,44.72,50.45,87.37,71.00,63.03,46.84,51.16,72.44,63.51,0.00,70.61,79.08,16.28,28.28,69.89,15.00,50.29,78.10,10.63,46.69,71.06,74.25,75.58,90.61,84.15,53.82,29.41,48.04,33.38,58.31,12.37,51.97,105.12,9.85,19.85,52.61,28.18,7.28,37.05,46.62,20.25,52.17,98.48,32.25,55.04,83.24,87.68,74.04,26.17,49.24,38.83,39.82,54.15,21.10
