iterasi,energi
1,3115.20
2,3115.20
3,3115.20
4,3113.70
5,3113.70
6,3113.70
7,3113.70
8,3113.70
9,3106.50
10,3105.00
11,2890.65
12,2890.65
13,2596.65
14,2482.80
15,2482.80
16,2482.80
17,2482.80
18,2482.80
19,2482.80
20,2482.80
21,2482.80
22,2482.80
23,2482.80
24,2482.80
25,2482.80
26,2482.80
27,2482.80
28,2462.40
29,2462.40
30,2462.40
31,2462.40
32,2462.40
33,2462.40
34,2462.40
35,2462.40
36,2462.40
37,2462.40
38,2462.40
39,2462.40
40,2462.40
41,2462.40
42,2439.00
43,2439.00
44,2423.55
45,2423.55
46,2423.55
47,2423.55
48,2358.15
49,2358.15
50,2358.15
51,2358.15
52,2358.15
53,2358.15
54,2315.10
55,2295.45
56,2295.45
57,2295.45
58,2295.45
59,2295.45
60,2295.45
61,2295.45
62,2295.45
63,2295.45
64,2295.45
65,2295.45
66,2295.45
67,2287.95
68,2287.95
69,2287.95
70,2287.95
71,2287.95
72,2273.40
73,2273.40
74,2273.40
75,2273.40
76,2273.40
77,2273.40
78,2273.40
79,2273.40
80,2273.40
81,2273.40
82,2273.40
83,2273.10
84,2273.10
85,2273.10
86,2273.10
87,2273.10
88,2273.10
89,2273.10
90,2273.10
91,2273.10
92,2273.10
93,2273.10
94,2273.10
95,2273.10
96,2273.10
97,2273.10
98,2273.10
99,2273.10
100,2273.10
101,2273.10
102,2273.10
103,2273.10
104,2273.10
105,2273.10
106,2273.10
107,2273.10
108,2273.10
109,2273.10
110,2273.10
111,2273.10
112,2273.10
113,2273.10
114,2261.25
115,2261.25
116,2261.25
117,2261.25
118,2261.25
119,2261.25
120,2261.25
121,2261.25
122,2261.25
123,2261.25
124,2261.25
125,2261.25
126,2261.25
127,2261.25
128,2261.25
129,2261.25
130,2261.25
131,2261.25
132,2261.25
133,2261.25
134,2261.25
135,2261.25
136,2261.25
137,2261.25
138,2261.25
139,2261.25
140,2261.25
141,2261.25
142,2261.25
143,2261.25
144,2261.25
145,2261.25
146,2261.25
147,2261.25
148,2261.25
149,2261.25
150,2261.25
151,2261.25
152,2261.25
153,2261.25
154,2261.25
155,2261.25
156,2261.25
157,2261.25
158,2261.25
159,2261.25
160,2261.25
161,2261.25
162,2261.25
163,2261.25
164,2261.25
165,2261.25
166,2261.25
167,2261.25
168,2261.25
169,2261.25
170,2261.25
171,2261.25
172,2261.25
173,2261.25
174,2261.25
175,2261.25
176,2261.25
177,2261.25
178,2261.25
179,2261.25
180,2261.25
181,2261.25
182,2261.25
183,2261.25
184,2261.25
185,2179.20
186,2179.20
187,2179.20
188,2179.20
189,2179.20
190,2179.20
191,2179.20
192,2179.20
193,2179.20
194,2179.20
195,2179.20
196,2179.20
197,2179.20
198,2179.20
199,2179.20
200,2179.20
