50,10
id,x,y
0,98,98
1,5,24
2,45,76
3,93,49
4,98,71
5,53,46
6,24,0
7,33,69
8,85,40
9,25,16
10,2,89
11,71,26
12,28,76
13,22,85
14,1,81
15,16,61
16,73,89
17,58,20
18,31,22
19,70,73
20,77,61
21,7,66
22,85,80
23,58,41
24,77,11
25,65,82
26,27,97
27,18,44
28,41,22
29,1,66
30,90,0
31,44,10
32,29,58
33,82,61
34,25,87
35,78,56
36,95,35
37,61,86
38,99,44
39,6,8
40,82,85
41,88,76
42,21,97
43,86,64
44,75,96
45,71,52
46,46,51
47,80,70
48,62,38
49,20,6
50,57,61
51,23,66
52,96,9
53,11,27
54,94,18
55,70,63
56,49,46
57,35,81
58,54,54
59,19,85
60,94,87
