iterasi,energi
1,3183.45
2,3129.15
3,3110.85
4,3110.85
5,3110.85
6,2894.70
7,2881.95
8,2881.95
9,2869.35
10,2734.05
11,2734.05
12,2734.05
13,2734.05
14,2734.05
15,2734.05
16,2734.05
17,2734.05
18,2734.05
19,2734.05
20,2701.65
21,2701.65
22,2701.65
23,2701.65
24,2701.65
25,2701.65
26,2701.65
27,2701.65
28,2701.65
29,2701.65
30,2701.65
31,2701.65
32,2701.65
33,2701.65
34,2701.65
35,2701.65
36,2701.65
37,2701.65
38,2394.45
39,2394.45
40,2394.45
41,2394.45
42,2394.45
43,2394.45
44,2394.45
45,2394.45
46,2394.45
47,2394.45
48,2394.45
49,2394.45
50,2382.15
51,2382.15
52,2382.15
53,2382.15
54,2382.15
55,2296.35
56,2296.35
57,2296.35
58,2296.35
59,2281.50
60,2270.25
61,2270.25
62,2270.25
63,2270.25
64,2270.25
65,2270.25
66,2270.25
67,2270.25
68,2270.25
69,2027.25
70,2027.25
71,2027.25
72,2027.25
73,2027.25
74,2027.25
75,2027.25
76,2027.25
77,2027.25
78,2027.25
79,2027.25
80,2027.25
81,2027.25
82,2027.25
83,2027.25
84,2027.25
85,2027.25
86,2027.25
87,2027.25
88,2027.25
89,2027.25
90,2027.25
91,2027.25
92,2027.25
93,2027.25
94,2027.25
95,2027.25
96,2027.25
97,2027.25
98,2027.25
99,2027.25
100,2027.25
101,2027.25
102,2027.25
103,2027.25
104,2027.25
105,2027.25
106,2027.25
107,2027.25
108,2027.25
109,2021.70
110,2021.70
111,2021.70
112,2021.70
113,2021.70
114,2021.70
115,2021.70
116,2021.70
117,2021.70
118,2021.70
119,2021.70
120,2021.70
121,2021.70
122,2021.70
123,2021.70
124,2021.70
125,2021.70
126,2013.60
127,2013.60
128,2013.60
129,2013.60
130,2013.60
131,2013.60
132,2013.60
133,2013.60
134,2013.60
135,2013.60
136,2013.60
137,2013.60
138,2013.60
139,2013.60
140,2013.60
141,2013.60
142,2013.60
143,2013.60
144,2013.60
145,2013.60
146,2013.60
147,2013.60
148,2013.60
149,2013.60
150,2013.60
151,2013.60
152,2013.60
153,2013.60
154,2013.60
155,2013.60
156,2013.60
157,2013.60
158,2013.60
159,2013.60
160,2013.60
161,2013.60
162,2013.60
163,2013.60
164,2013.60
165,2013.60
166,2013.60
167,2013.60
168,2013.60
169,2013.60
170,1974.90
171,1974.90
172,1974.90
173,1974.90
174,1974.90
175,1974.90
176,1974.90
177,1974.90
178,1974.90
179,1974.90
180,1974.90
181,1974.90
182,1974.90
183,1944.30
184,1944.30
185,1944.30
186,1944.30
187,1944.30
188,1944.30
189,1944.30
190,1944.30
191,1944.30
192,1944.30
193,1944.30
194,1944.30
195,1944.30
196,1944.30
197,1944.30
198,1944.30
199,1944.30
200,1944.30
